location1,location2,rssi1,rssi2,rssi3,rssi4,rssi5,rssi6,rssi7,rssi8
c3,3,198.4, 187.2, 181.0, 190.4, 189.4, 198.4, 189.2, 186.0
c3,3,207.0, 200.2, 192.4, 196.0, 205.0, 197.8, 196.0, 200.2
c3,3,196.0, 185.8, 184.6, 185.8, 192.4, 202.0, 192.4, 190.0
c3,3,207.4, 191.2, 192.4, 192.4, 199.0, 201.4, 188.8, 196.0
c3,3,196.6, 190.0, 190.6, 196.0, 196.0, 199.0, 191.2, 197.2
c3,3,200.8, 191.8, 185.8, 195.4, 192.0, 196.6, 192.4, 196.6
c3,3,184.4, 186.2, 184.0, 197.2, 199.0, 198.4, 196.8, 193.6
c3,3,197.8, 186.4, 182.2, 193.6, 196.6, 194.2, 184.42857142857142, 195.4
c3,3,201.6, 186.0, 190.0, 191.4, 194.2, 206.0, 195.0, 204.4
c3,3,208.2, 197.2, 191.2, 207.4, 197.2, 205.0, 195.4, 195.4
c3,3,202.0, 191.8, 191.8, 209.6, 192.4, 207.4, 204.0, 194.2
c3,3,200.2, 190.6, 181.6, 200.2, 186.4, 205.0, 199.6, 195.4
c3,3,191.0, 184.2, 187.0, 190.2, 190.8, 194.4, 190.4, 197.2
c3,3,192.8, 183.0, 180.4, 202.2, 197.2, 193.8, 195.6, 196.2
c2,3,199.8, 189.0, 189.4, 194.2, 194.8, 196.4, 196.4, 195.2
c2,3,197.2, 193.0, 191.2, 201.4, 196.6, 196.0, 201.4, 205.0
c2,3,196.0, 191.2, 189.25, 196.6, 191.8, 193.6, 190.2, 195.4
c2,3,199.6, 186.4, 190.5, 196.0, 205.0, 207.4, 186.4, 204.4
c2,3,193.0, 187.0, 190.0, 199.0, 192.4, 201.4, 196.0, 193.0
c2,3,201.4, 190.6, 187.0, 202.6, 197.8, 196.0, 195.4, 199.6
c2,3,204.0, 193.6, 192.4, 197.2, 205.0, 201.4, 198.4, 207.4
c2,3,200.2, 187.0, 183.4, 198.0, 194.4, 203.2, 189.4, 195.0
c2,3,196.6, 193.0, 193.0, 193.0, 202.0, 195.25, 195.0, 193.0
c2,3,200.2, 185.8, 196.0, 200.8, 197.2, 195.4, 197.8, 198.4
c2,3,210.4, 188.8, 190.6, 189.4, 200.8, 199.6, 190.0, 194.8
c2,3,197.8, 194.2, 193.0, 186.4, 195.4, 198.4, 195.4, 199.0
c2,3,204.4, 189.0, 183.4, 196.8, 192.8, 201.6, 189.0, 192.4
c2,3,196.8, 190.0, 184.6, 197.2, 196.8, 197.4, 196.2, 200.2
d3,3,195.4, 187.6, 199.0, 185.8, 190.0, 198.4, 198.4, 196.0
d2,3,201.0, 188.4, 186.4, 195.6, 199.2, 198.2, 196.2, 197.2
d2,3,205.0, 188.2, 191.2, 195.4, 201.4, 191.8, 191.8, 198.4
d2,3,204.4, 187.0, 185.0, 190.0, 198.4, 201.4, 197.2, 199.0
d2,3,200.2, 196.6, 189.5, 198.4, 199.0, 199.0, 200.8, 194.8
d2,3,201.4, 196.6, 191.8, 193.6, 201.4, 202.6, 201.4, 196.6
d2,3,199.6, 184.6, 192.4, 202.0, 198.4, 197.2, 194.8, 201.4
d2,3,201.4, 185.4, 185.8, 206.0, 196.8, 196.4, 190.2, 196.4
d2,3,211.2, 197.8, 183.4, 198.4, 196.0, 199.6, 196.6, 199.6
d2,3,190.0, 187.0, 187.0, 202.75, 202.6, 203.8, 198.0, 204.0
d2,3,197.8, 192.4, 177.4, 199.0, 199.0, 194.2, 197.2, 195.4
d2,3,196.0, 192.4, 189.4, 201.4, 193.6, 200.8, 199.5, 201.0
d2,3,202.6, 191.8, 191.8, 200.0, 199.0, 195.4, 197.8, 205.0
d2,3,205.0, 192.4, 188.2, 202.6, 201.4, 201.4, 197.8, 193.0
d2,3,201.4, 193.0, 188.8, 202.6, 198.4, 204.4, 190.0, 200.8
d3,3,199.0, 196.6, 190.0, 197.8, 200.8, 196.6, 195.4, 195.4
d3,3,188.2, 181.0, 188.2, 195.4, 192.4, 202.0, 201.4, 197.2
d3,3,203.2, 188.2, 187.6, 185.8, 200.8, 196.6, 199.6, 200.8
d3,3,188.8, 181.6, 185.2, 199.0, 199.0, 193.0, 183.4, 196.0
d3,3,199.0, 192.4, 186.4, 202.0, 200.8, 201.0, 195.4, 206.2
d3,3,201.4, 185.2, 185.8, 195.4, 197.5, 194.2, 196.0, 193.6
d3,3,205.2, 193.8, 190.6, 195.2, 203.0, 201.33333333333334, 193.8, 204.4
d3,3,197.2, 183.5, 185.8, 196.6, 201.4, 202.0, 197.8, 200.8
d3,3,194.8, 181.0, 190.0, 195.4, 192.4, 199.0, 188.8, 197.8
d3,3,201.4, 192.4, 199.0, 205.0, 203.8, 198.4, 200.8, 204.0
d3,3,195.4, 187.0, 183.4, 201.4, 197.8, 202.0, 196.0, 200.8
d3,3,193.6, 179.8, 187.6, 193.0, 185.8, 201.4, 193.6, 196.0
d3,3,189.4, 187.0, 189.0, 190.0, 198.4, 199.0, 195.4, 193.0
d3,3,191.8, 194.2, 203.2, 195.4, 187.0, 198.4, 193.0, 202.0
d3,3,197.2, 190.0, 196.75, 191.8, 183.4, 192.4, 200.2, 196.6
c2,3,199.0, 187.0, 191.2, 195.4, 181.75, 200.8, 197.2, 199.0

