location1,location2,rssi1,rssi2,rssi3,rssi4,rssi5,rssi6,rssi7,rssi8
a2,2,197.2, 185.4, 191.2, 197.0, 196.8, 194.2, 197.8, 195.2
a2,2,203.8, 186.4, 188.2, 194.6, 194.6, 203.4, 194.4, 195.8
a2,2,197.2, 186.4, 191.2, 193.0, 197.2, 188.2, 194.8, 193.0
a2,2,204.4, 188.2, 187.0, 191.2, 198.4, 182.8, 193.0, 196.6
a2,2,196.6, 188.2, 185.2, 202.0, 195.4, 194.8, 197.66666666666666, 190.0
a2,2,198.4, 188.2, 186.4, 194.8, 199.0, 193.6, 195.4, 196.0
a2,2,200.8, 185.8, 188.4, 193.6, 201.4, 199.6, 199.0, 198.4
a2,2,200.8, 191.8, 190.0, 199.0, 204.4, 201.4, 197.2, 204.4
a2,2,201.4, 185.2, 192.4, 192.4, 193.0, 198.4, 190.6, 200.2
a2,2,196.6, 187.6, 186.4, 189.4, 200.2, 191.8, 191.8, 198.4
a2,2,199.6, 184.0, 188.8, 195.4, 203.2, 194.2, 191.8, 202.0
a2,2,201.4, 188.2, 189.4, 199.0, 197.2, 196.0, 198.4, 191.8
a2,2,196.8, 188.2, 183.4, 201.6, 200.4, 198.6, 192.8, 197.4
a2,2,196.6, 185.8, 185.8, 194.2, 192.4, 201.4, 195.4, 194.2
b2,2,203.0, 193.4, 184.0, 193.4, 196.6, 201.4, 189.6, 194.6
b2,2,205.0, 189.4, 185.2, 192.4, 196.0, 202.6, 205.8, 195.4
b2,2,196.0, 193.6, 184.0, 196.0, 194.2, 201.4, 199.0, 205.0
b2,2,207.4, 187.6, 185.8, 191.8, 198.4, 205.0, 193.6, 198.0
b2,2,215.2, 195.4, 196.6, 201.5, 193.6, 196.0, 192.4, 203.2
b2,2,211.0, 198.0, 193.0, 196.0, 197.8, 201.0, 195.4, 192.4
b2,2,213.6, 192.4, 200.8, 198.4, 202.6, 199.0, 197.2, 200.2
b2,2,213.8, 183.6, 187.0, 201.8, 197.2, 200.4, 193.2, 200.4
b2,2,209.8, 187.6, 186.4, 196.6, 199.6, 201.4, 195.0, 197.8
b2,2,210.4, 193.0, 191.8, 196.6, 200.2, 196.0, 196.6, 202.6
b2,2,214.2, 184.0, 190.0, 198.4, 193.6, 193.0, 200.8, 197.2
b2,2,214.0, 189.4, 188.2, 200.8, 200.2, 196.0, 202.6, 204.4
b2,2,210.4, 189.4, 200.0, 205.0, 195.4, 199.0, 197.2, 198.4
b2,2,210.4, 185.8, 185.8, 196.6, 195.4, 198.4, 197.8, 197.8
a3,2,190.6, 192.0, 191.2, 195.4, 195.4, 202.6, 195.4, 199.0
a3,2,196.0, 192.4, 190.0, 192.4, 197.8, 206.4, 195.4, 196.6
a3,2,191.8, 185.8, 191.2, 184.6, 199.0, 204.4, 201.4, 190.0
a3,2,194.2, 185.2, 182.2, 190.0, 195.4, 194.8, 197.8, 195.4
a3,2,185.8, 184.0, 186.4, 198.4, 192.4, 197.2, 197.2, 191.8
a3,2,193.6, 194.2, 185.8, 195.4, 192.4, 193.6, 193.0, 197.8
a3,2,187.0, 187.0, 183.4, 195.4, 190.6, 194.8, 184.6, 196.6
a3,2,190.0, 187.0, 185.5, 199.0, 187.0, 198.4, 191.2, 191.8
a3,2,196.6, 185.8, 187.0, 199.0, 198.4, 199.0, 197.2, 199.0
a3,2,199.0, 185.8, 185.8, 193.0, 195.4, 200.8, 197.8, 202.6
a3,2,198.4, 190.0, 190.0, 193.6, 195.0, 199.0, 191.8, 191.8
a3,2,196.6, 187.0, 185.8, 192.4, 193.0, 199.0, 191.8, 192.4
a3,2,203.8, 185.8, 185.8, 195.4, 192.4, 194.2, 191.8, 193.0
a3,2,193.6, 187.0, 185.8, 191.2, 193.0, 200.8, 189.4, 191.2
b3,2,195.4, 186.6, 185.8, 189.4, 199.0, 198.8, 192.8, 190.0
b3,2,193.0, 194.2, 190.6, 201.4, 197.2, 205.6, 187.6, 191.8
b3,2,195.4, 182.2, 184.42857142857142, 200.8, 186.4, 199.0, 188.8, 195.4
b3,2,197.2, 184.0, 181.0, 186.4, 192.4, 194.2, 195.4, 197.8
b3,2,199.0, 185.8, 190.0, 191.2, 198.0, 195.4, 186.4, 197.8
b3,2,205.0, 181.0, 184.0, 208.0, 199.0, 208.0, 208.0, 199.0
b3,2,201.4, 187.2, 179.2, 187.0, 197.8, 194.8, 196.0, 187.0
b3,2,197.2, 186.4, 188.5, 193.6, 190.6, 197.2, 200.8, 184.42857142857142
b3,2,208.0, 187.6, 181.6, 196.0, 195.4, 191.2, 194.8, 188.8
b3,2,213.4, 189.4, 182.8, 200.2, 200.4, 198.4, 197.2, 191.8
b3,2,204.4, 187.0, 183.4, 194.2, 192.4, 201.4, 198.4, 193.6
b3,2,200.2, 186.4, 185.8, 187.0, 192.4, 194.8, 192.4, 191.2
b3,2,201.4, 182.8, 194.2, 191.8, 192.4, 197.8, 200.2, 196.0
b3,2,196.0, 184.0, 193.0, 198.0, 198.6, 202.2, 194.4, 197.4
b2,2,200.2, 192.4, 191.8, 194.71428571428572, 184.6, 197.8, 198.4, 193.6
b3,2,199.0, 185.8, 197.2, 193.0, 184.0, 200.8, 187.0, 195.4
