location1,location2,location3,rssi1,rssi2,rssi3,rssi4,rssi5,rssi6,rssi7,rssi8
d2,3,1,201.4, 185.4, 185.8, 206.0, 196.8, 196.4, 190.2, 196.4
d2,3,1,211.2, 197.8, 183.4, 198.4, 196.0, 199.6, 196.6, 199.6
d2,3,1,190.0, 187.0, 187.0, 202.75, 202.6, 203.8, 198.0, 204.0
d2,3,1,197.8, 192.4, 177.4, 199.0, 199.0, 194.2, 197.2, 195.4
d2,3,1,196.0, 192.4, 189.4, 201.4, 193.6, 200.8, 199.5, 201.0
d2,3,1,202.6, 191.8, 191.8, 200.0, 199.0, 195.4, 197.8, 205.0
d2,3,1,205.0, 192.4, 188.2, 202.6, 201.4, 201.4, 197.8, 193.0
d2,3,1,201.4, 193.0, 188.8, 202.6, 198.4, 204.4, 190.0, 200.8
d3,3,1,199.0, 196.6, 190.0, 197.8, 200.8, 196.6, 195.4, 195.4
d3,3,1,188.2, 181.0, 188.2, 195.4, 192.4, 202.0, 201.4, 197.2
d3,3,1,203.2, 188.2, 187.6, 185.8, 200.8, 196.6, 199.6, 200.8
d3,3,1,188.8, 181.6, 185.2, 199.0, 199.0, 193.0, 183.4, 196.0
d3,3,1,199.0, 192.4, 186.4, 202.0, 200.8, 201.0, 195.4, 206.2
d3,3,1,201.4, 185.2, 185.8, 195.4, 197.5, 194.2, 196.0, 193.6
d3,3,1,205.2, 193.8, 190.6, 195.2, 203.0, 201.33333333333334, 193.8, 204.4
d3,3,1,197.2, 183.5, 185.8, 196.6, 201.4, 202.0, 197.8, 200.8
d3,3,1,194.8, 181.0, 190.0, 195.4, 192.4, 199.0, 188.8, 197.8
d3,3,1,201.4, 192.4, 199.0, 205.0, 203.8, 198.4, 200.8, 204.0
d3,3,1,195.4, 187.0, 183.4, 201.4, 197.8, 202.0, 196.0, 200.8
d3,3,1,193.6, 179.8, 187.6, 193.0, 185.8, 201.4, 193.6, 196.0
d3,3,1,189.4, 187.0, 189.0, 190.0, 198.4, 199.0, 195.4, 193.0
b1,1,1,207.8, 193.0, 196.0, 194.0, 193.4, 195.6, 192.6, 192.8
b1,1,1,213.4, 192.4, 187.6, 190.6, 200.2, 198.4, 191.8, 197.8
b1,1,1,198.4, 186.4, 189.0, 192.4, 192.4, 193.6, 201.4, 196.6
b1,1,1,204.4, 189.4, 190.6, 192.4, 195.4, 200.8, 194.2, 194.2
b1,1,1,215.8, 185.8, 192.4, 195.4, 194.2, 194.8, 198.4, 199.0
b1,1,1,211.0, 189.4, 193.0, 191.2, 195.4, 197.8, 197.8, 198.4
b1,1,1,209.0, 187.0, 189.4, 193.2, 195.4, 191.2, 193.2, 198.2
b1,1,1,207.6, 196.0, 189.25, 188.8, 199.0, 193.6, 194.2, 197.8
b1,1,1,216.4, 191.8, 193.0, 189.4, 197.2, 196.0, 198.4, 200.8
b1,1,1,215.4, 191.8, 191.8, 200.8, 193.6, 194.8, 196.6, 198.4
b1,1,1,204.4, 190.0, 188.5, 195.4, 201.4, 199.0, 201.4, 193.0
b1,1,1,214.0, 187.6, 185.8, 195.4, 196.6, 198.4, 195.4, 200.2
b1,1,1,221.0, 183.4, 190.42857142857142, 197.2, 195.4, 195.4, 193.0, 193.0
b1,1,1,203.4, 185.6, 185.8, 185.8, 204.8, 198.0, 191.8, 184.6
c01,4,1,205.2, 185.4, 183.4, 203.2, 198.6, 201.6, 192.2, 197.0
c01,4,1,200.2, 186.4, 190.6, 197.8, 199.6, 202.0, 196.6, 193.6
c01,4,1,201.4, 191.2, 190.6, 193.0, 201.4, 200.8, 205.0, 211.0
c01,4,1,196.0, 183.4, 179.8, 191.8, 190.6, 196.6, 190.0, 189.4
c01,4,1,197.2, 185.8, 184.0, 201.4, 196.0, 193.0, 194.2, 196.0
c01,4,1,200.8, 187.6, 184.6, 196.0, 190.6, 198.4, 191.8, 196.0
c01,4,1,196.0, 180.0, 185.0, 186.4, 188.2, 191.8, 194.8, 196.0
c01,4,1,201.4, 192.4, 196.6, 203.2, 195.4, 196.6, 200.2, 199.0
c01,4,1,198.4, 183.0, 189.4, 190.0, 198.4, 198.4, 198.4, 190.0
c01,4,1,201.4, 190.0, 184.0, 195.4, 196.0, 196.0, 194.2, 197.2
c01,4,1,205.6, 192.4, 188.8, 196.0, 204.4, 198.4, 193.6, 198.4
c01,4,1,202.0, 184.0, 186.4, 190.6, 192.4, 194.2, 196.6, 201.4
c01,4,1,208.0, 185.8, 191.2, 197.2, 196.0, 205.4, 199.6, 197.2
d01,4,1,191.4, 192.8, 185.8, 192.6, 195.4, 195.6, 195.6, 215.4
d01,4,1,202.6, 196.0, 193.0, 201.4, 193.6, 198.4, 192.4, 207.4
d01,4,1,199.0, 188.8, 194.0, 196.0, 195.4, 195.4, 193.0, 199.0
d01,4,1,193.0, 182.8, 186.25, 191.8, 201.4, 198.4, 193.6, 201.4
d01,4,1,193.6, 187.6, 182.5, 190.6, 197.2, 199.0, 185.2, 211.2
d01,4,1,202.2, 194.0, 194.2, 198.0, 198.4, 195.2, 205.2, 209.2
d01,4,1,200.8, 193.0, 200.5, 197.8, 193.0, 202.0, 199.6, 196.6
d01,4,1,195.8, 184.0, 194.2, 195.0, 194.4, 197.2, 197.6, 208.4
d01,4,1,200.8, 194.2, 193.0, 196.0, 195.4, 201.4, 198.4, 209.2
d01,4,1,191.8, 182.5, 184.75, 190.0, 193.6, 194.8, 193.0, 197.8
d01,4,1,199.0, 194.8, 186.4, 191.8, 203.2, 201.4, 198.4, 200.8
d01,4,1,202.0, 195.4, 199.0, 202.6, 201.6, 196.6, 194.8, 196.6
d01,4,1,199.0, 181.0, 190.0, 193.0, 193.0, 188.2, 193.0, 200.2
c2,3,1,191.8, 192.25, 188.5, 196.0, 196.6, 200.8, 194.0, 206.4
c3,3,1,191.8, 182.5, 189.4, 196.6, 195.4, 201.4, 191.8, 204.4
c3,3,1,188.2, 192.0, 187.6, 194.8, 190.0, 191.2, 192.4, 207.4
c01,4,1,191.8, 183.0, 187.0, 195.25, 200.8, 202.6, 190.6, 198.4
d01,4,1,185.8, 187.0, 196.0, 190.0, 194.2, 191.2, 190.0, 214.8
d3,3,1,195.4, 187.6, 199.0, 185.8, 190.0, 198.4, 198.4, 196.0
b2,2,1,200.2, 192.4, 191.8, 194.71428571428572, 184.6, 197.8, 198.4, 193.6
b3,2,1,199.0, 185.8, 197.2, 193.0, 184.0, 200.8, 187.0, 195.4
d01,4,1,194.2, 179.8, 192.4, 196.6, 181.0, 187.0, 191.8, 206.8
a3,2,1,196, 187.0, 196.6, 191.8, 179.2, 194.8, 196.8, 197.2
d01,4,1,187.6, 190.0, 192.4, 201.4, 190.0, 195.4, 190.6, 199.6
d01,4,1,193.6, 187.6, 191.8, 198.4, 181.6, 187.6, 189.4, 207.4
d3,3,1,191.8, 194.2, 203.2, 195.4, 187.0, 198.4, 193.0, 202.0
d3,3,1,197.2, 190.0, 196.75, 191.8, 183.4, 192.4, 200.2, 196.6
d01,4,1,192.4, 187.0, 191.2, 195.4, 190.0, 188.8, 197.8, 204.4
d01,4,1,194.8, 192.4, 194.8, 195.4, 188.2, 190.42857142857142, 197.8, 202.0
d3,3,1,197.2, 190.0, 196.75, 191.8, 183.4, 192.4, 200.2, 196.6
c2,3,1,199.0, 187.0, 191.2, 195.4, 181.75, 200.8, 197.2, 199.0
h7,3,7,182.6, 177.4, 199.0, 194.8, 186.4, 190.8, 203.6, 189.6
h7,3,7,186.6, 177.4, 184.0, 197.4, 179.5, 184.2, 195.2, 187.0
h7,3,7,195.4, 192.4, 193.6, 194.71428571428572, 187.6, 198.4, 207.4, 192.4
h7,3,7,190.0, 180.4, 184.6, 197.2, 175.0, 185.5, 205.0, 181.75
h7,3,7,181.0, 182.8, 193.6, 181.6, 186.25, 192.4, 195.4, 186.4
h7,3,7,184.4, 183.6, 189.4, 189.0, 184.0, 183.6, 213.8, 184.0
h7,3,7,194.4, 186.4, 190.6, 191.0, 185.8, 191.4, 210.6, 195.6
h7,3,7,193.8, 186.4, 190.0, 199.6, 184.8, 194.2, 207.4, 191.2
h7,3,7,184.6, 186.4, 194.2, 198.2, 189.4, 197.6, 223.8, 195.6
h7,3,7,192.6, 190.8, 202.0, 197.6, 191.0, 191.4, 204.6, 197.8
h7,3,7,185.8, 182.2, 196.6, 195.4, 173.5, 197.8, 201.4, 188.5
h7,3,7,194.8, 187.0, 198.4, 190.0, 188.2, 196.6, 204.4, 195.4
h7,3,7,195.4, 185.8, 193.6, 192.4, 185.5, 201.0, 205.6, 194.2
h7,3,7,194.4, 184.0, 196.6, 191.6, 189.0, 199.8, 202.2, 188.6
h4,4,7,187.0, 179.5, 190.0, 198.4, 180.25, 185.8, 199.0, 185.8
h4,4,7,189.0, 187.6, 194.2, 195.4, 187.0, 200.2, 201.4, 191.8
h4,4,7,195.0, 191.8, 198.4, 195.4, 186.4, 190.0, 200.8, 196.6
h4,4,7,185.5, 192.4, 196.6, 200.8, 185.2, 195.4, 201.4, 192.4
h4,4,7,198.25, 196.0, 201.4, 199.6, 185.2, 197.2, 202.0, 201.4
h4,4,7,194.0, 190.0, 197.0, 200.8, 185.2, 194.2, 202.0, 198.4
h4,4,7,189.25, 192.8, 202.0, 202.8, 187.0, 196.6, 205.0, 200.8
h4,4,7,189.25, 192.8, 202.0, 202.8, 187.0, 196.6, 205.0, 200.8
h4,4,7,188.5, 192.4, 196.0, 194.2, 181.8, 193.0, 198.8, 194.8
h4,4,7,197.5, 188.2, 194.5, 198.4, 187.0, 196.6, 197.8, 192.25
h4,4,7,194.8, 191.8, 196.6, 190.6, 187.0, 198.4, 195.4, 200.2
g4,4,7,195.4, 188.8, 197.2, 195.4, 186.4, 201.4, 199.0, 205.0
g4,4,7,184.6, 189.4, 195.4, 191.8, 190.6, 195.4, 195.4, 194.2
g4,4,7,196.0, 187.0, 196.6, 201.4, 187.0, 196.0, 193.6, 199.0
g4,4,7,195.4, 185.8, 199.0, 197.2, 175.0, 191.8, 198.4, 197.2
